Student ID, Course Alloted, Preference Number
EE15B096,HS3002A,2
EE15B097,HS2050,1
EE15B098,HS3002D,1
EE15B099,HS3280,2
EE15B100,HS5930,1
EE15B101,HS1090+,2
EE15B102,HS5930,1
EE15B103,HS3002D,1
EE15B104,HS1090+,2
EE15B105,HS3002C,4
EE15B106,HS3420A,4
EE15B107,HS3002,1
EE15B108,HS3280,3
EE15B109,HS2050,5
EE15B110,HS4005,1
EE15B111,HS3002,1
EE15B112,HS5920,1
EE15B113,HS3002D,1
EE15B114,HS3002C,4
EE15B115,HS5930,1
EE15B116,HS4002,1
EE15B117,HS3002,1
EE15B118,HS4005,3
EE15B119,HS3002D,8
EE15B120,HS3002C,4
EE15B121,HS3002C,4
EE15B122,HS3002,1
EE15B123,HS3002,1
EE15B124,HS3002A,2
EE15B125,HS1090+,1
EE15B126,HS3002B,1
EE15B127,HS5930,2
EE15B128,HS3002A,2
EE15B129,HS3002B,3
EE15B130,HS3002C,5
EE15B131,HS5930,2
EE15B132,HS2050,4
EE15B133,HS5930,2
EE15B134,HS3420A,3
EP15B001,HS1090+,2
EP15B002,HS3002B,1
EP15B003,HS5930,1
EP15B004,HS3002B,1
EP15B005,HS5930,1
EP15B006,HS3002A,2
EP15B007,HS3002B,1
EP15B008,HS3002C,4
EP15B009,HS5930,3
EP15B010,HS5930,1
EP15B011,HS3002C,4
EP15B012,HS3002C,6
EP15B013,HS4002,1
EP15B014,HS4006,1
EP15B015,HS3002,1
EP15B016,HS3002A,2
EP15B017,HS3002B,3
EP15B018,HS3002A,2
EP15B019,HS2050,4
EP15B020,HS3002,1
EP15B021,HS3002B,1
EP15B023,HS2050,1
EP15B024,HS2050,1
EP15B025,HS3002B,1
EP15B026,HS3002B,1
EP15B027,HS2050,1
EP15B028,HS3002A,2
EP15B030,HS3002D,4
EP15B031,HS5070,1
MM15B001,HS3002C,4
MM15B002,HS3002,1
MM15B004,HS5930,2
MM15B005,HS5920,2
MM15B006,HS3002A,1
MM15B007,HS5930,1
MM15B008,HS3002D,1
MM15B009,HS3002D,4
MM15B010,HS5920,1
MM15B011,HS3002D,1
MM15B012,HS1090+,2
MM15B013,HS1090+,3
MM15B014,HS3002,1
MM15B015,HS1090+,1
MM15B016,HS3002,1
MM15B017,HS3002D,1
MM15B018,HS3002B,1
MM15B019,HS3002D,1
MM15B020,HS1090+,2
MM15B021,HS3002B,3
MM15B022,HS2050,1
MM15B023,HS3002A,1
MM15B024,HS3002D,1
MM15B025,HS3002C,4
MM15B026,HS3002C,4
MM15B029,HS5930,1
MM15B030,HS5930,1
MM15B031,HS5930,1
MM15B032,HS3002B,1
MM15B034,HS5930,1
MM15B035,HS3002B,1
MM15B036,HS3002A,1
MM15B039,HS3002B,1
MM15B040,HS3002,1
MM15B041,HS3280,1
MM15B043,HS3002A,1
MM15B044,HS3002B,1
MM15B046,HS4006,1
MM15B047,HS3002,1
MM15B048,HS3002B,1
NA15B001,HS5070,1
NA15B002,HS5070,3
NA15B003,HS4005,2
NA15B004,HS5930,1
NA15B005,HS5930,1
NA15B006,HS5930,2
NA15B007,HS3002A,1
NA15B008,HS5920,1
NA15B010,HS3002A,1
NA15B011,HS3002B,3
NA15B012,HS2050,3
NA15B013,HS5930,1
NA15B014,HS5930,3
NA15B016,HS3420A,3
NA15B017,HS5920,1
NA15B018,HS3002,1
NA15B019,HS3002A,1
NA15B020,HS5930,1
NA15B022,HS3002C,1
NA15B023,HS3002D,5
NA15B024,HS3002C,4
NA15B025,HS4540,3
NA15B028,HS3002,1
NA15B029,HS1090+,3
NA15B030,HS3002B,3
NA15B031,HS3002A,1
NA15B032,HS2050,1
NA15B033,HS4005,2
NA15B034,HS3002,1
NA15B036,HS3002B,1
NA15B039,HS1090+,2
NA15B041,HS2050,1
NA15B042,HS4006,2
NA15B043,HS3420A,2
NA15B044,HS4006,3
NA15B045,HS3280,2
NA15B046,HS4006,3
NA15B047,HS4540,2
NA15B048,HS4006,1
NA15B049,HS3002,1
PH15B001,HS2050,4
PH15B005,HS1090+,2
PH15B006,HS2050,1
PH15B007,HS4006,2
PH15B008,HS3002C,4
PH15B009,HS2050,2
