RollNo,CourseNo,ColorGroup,Type,SortOrder
AE15B039,CH5440,0,ELEC,2
AE15B039,AS5540,0,ELEC,3
AE15B040,AS3520,NULL,CORE,NULL
AE15B040,AS3271,NULL,CORE,NULL
AE15B040,AS3050,NULL,CORE,NULL
AE15B040,EE5351,0,ELEC,1
AE15B040,AS5213,0,ELEC,2
AE15B040,CH5440,0,ELEC,3
AE15B042,AS2080,NULL,BACKLOG,NULL
AE15B042,AS3520,NULL,CORE,NULL
AE15B042,AS3271,NULL,CORE,NULL
AE15B042,BT1010,NULL,CORE,NULL
AE15B042,AS3050,NULL,CORE,NULL
AE15B042,AS5212,0,ELEC,1
AE15B043,BT1010,NULL,CORE,NULL
AE15B043,AS3520,NULL,CORE,NULL
AE15B043,AS3271,NULL,CORE,NULL
AE15B043,AS3050,NULL,CORE,NULL
AE15B043,AS5213,0,ELEC,1
AE15B043,AS6060,0,ELEC,2
AE15B044,MA2020,NULL,BACKLOG,NULL
AE15B044,AS2080,NULL,BACKLOG,NULL
AE15B044,BT1010,NULL,CORE,NULL
AE15B044,HS3050,NULL,CORE,NULL
AE15B044,AS3520,NULL,CORE,NULL
AE15B044,AS3271,NULL,CORE,NULL
AE15B044,AS3050,NULL,CORE,NULL
AE15B044,EP3120,0,ELEC,1
AE15B044,EP3220,0,ELEC,2
AE15B044,AS5212,0,ELEC,3
AE15B045,AS3520,NULL,CORE,NULL
AE15B045,AS3271,NULL,CORE,NULL
AE15B045,AS3050,NULL,CORE,NULL
AE15B045,AS5212,0,ELEC,1
AE15B045,BT3041,0,ELEC,2
AE15B045,MA2040,0,ELEC,3
AE15B045,EE4371,0,ELEC,4
AE15B046,BT1010,NULL,CORE,NULL
AE15B046,AS3271,NULL,CORE,NULL
AE15B046,AS3520,NULL,CORE,NULL
AE15B046,AS5213,0,ELEC,1
AE15B046,MA2040,0,ELEC,2
AE15B046,AS3050,0,ELEC,3
AE15B049,AS2030,NULL,CORE,NULL
AE15B049,AS2050,NULL,CORE,NULL
AE15B049,MA2020,NULL,CORE,NULL
AE15B049,AS2080,NULL,CORE,NULL
AE15B049,AS2510,NULL,CORE,NULL
AE15B049,AS2070slotE,NULL,CORE,NULL
AE15B050,BT1010,NULL,CORE,NULL
AE15B050,HS3050,NULL,CORE,NULL
AE15B050,AS3520,NULL,CORE,NULL
AE15B050,AS3271,NULL,CORE,NULL
AE15B050,AS3050,NULL,CORE,NULL
AE15B050,MA2040,0,ELEC,1
AE15B050,AS5212,0,ELEC,2
AE15B051,AS3520,NULL,CORE,NULL
AE15B051,AS3271,NULL,CORE,NULL
AE15B051,AS3050,NULL,CORE,NULL
AE15B051,AS5213,0,ELEC,1
AE15B051,CS6700,0,ELEC,2
AE15B051,CS6370,0,ELEC,3
AE15B051,ID4100,0,ELEC,4
AE15B052,CY1001,NULL,BACKLOG,NULL
AE15B052,AS2080,NULL,CORE,NULL
AE15B052,AS3520,NULL,CORE,NULL
AE15B052,AS3271,NULL,CORE,NULL
AE15B052,AS3050,NULL,CORE,NULL
AE15B052,BT1010,NULL,CORE,NULL
AE15B053,AS3520,NULL,CORE,NULL
AE15B053,AS3271,NULL,CORE,NULL
AE15B053,AS3050,NULL,CORE,NULL
AE15B053,BT1010,NULL,CORE,NULL
AE15B053,MA2040,0,ELEC,1
AE15B053,AS5213,0,ELEC,2
AE15B055,AS2080,NULL,BACKLOG,NULL
AE15B055,AS3520,NULL,CORE,NULL
AE15B055,AS3271,NULL,CORE,NULL
AE15B055,AS3050,NULL,CORE,NULL
AE15B055,BT1010,NULL,CORE,NULL
AE15B055,AS5213,0,ELEC,1
AE15B056,AS3271,NULL,CORE,NULL
AE15B056,AS3050,NULL,CORE,NULL
AE15B056,BT1010,NULL,CORE,NULL
AE15B056,AS3520,NULL,CORE,NULL
AE15B056,AS5213,3,ELEC,1
AE15B056,AS5211,3,ELEC,2
AE15B056,MA2040,2,ELEC,3
AE15B058,HS3050,NULL,CORE,NULL
AE15B058,AS3520,NULL,CORE,NULL
AE15B058,AS3271,NULL,CORE,NULL
AE15B058,AS3050,NULL,CORE,NULL
AE15B058,AS5540,0,ELEC,1
AE15B058,AS5213,0,ELEC,2
AE15B058,AS5710,0,ELEC,3
AE15B058,MA2040,0,ELEC,4
AE15B058,MS3540,0,ELEC,5
AE15B059,BT1010,NULL,CORE,NULL
AE15B059,AS3520,NULL,CORE,NULL
AE15B059,AS3271,NULL,CORE,NULL
AE15B059,AS3050,NULL,CORE,NULL
AE15B059,AS5213,1,ELEC,1
AE15B059,AS6010,2,ELEC,2
AE15B059,AS5540,2,ELEC,3
AE15B059,AS6060,2,ELEC,4
AE16B001,AS2030,NULL,CORE,NULL
AE16B001,AS2050,NULL,CORE,NULL
AE16B001,MA2020,NULL,CORE,NULL
AE16B001,AS2080,NULL,CORE,NULL
AE16B001,AS2510,NULL,CORE,NULL
AE16B001,AS2070slotE,NULL,CORE,NULL
AE16B002,AS2030,NULL,CORE,NULL
AE16B002,AS2050,NULL,CORE,NULL
AE16B002,MA2020,NULL,CORE,NULL
AE16B002,AS2080,NULL,CORE,NULL
AE16B002,AS2510,NULL,CORE,NULL
AE16B002,AS3520,NULL,CORE,NULL
AE16B002,AS2070slotE,NULL,CORE,NULL
AE16B003,AS2030,NULL,CORE,NULL
AE16B003,AS2050,NULL,CORE,NULL
AE16B003,MA2020,NULL,CORE,NULL
AE16B003,AS2080,NULL,CORE,NULL
AE16B003,AS2510,NULL,CORE,NULL
AE16B003,AS2070slotF,NULL,CORE,NULL
AE16B004,AS2030,NULL,CORE,NULL
AE16B004,AS2050,NULL,CORE,NULL
AE16B004,MA2020,NULL,CORE,NULL
AE16B004,AS2080,NULL,CORE,NULL
AE16B004,AS2510,NULL,CORE,NULL
AE16B004,AS2070slotE,NULL,CORE,NULL
AE16B005,AS2030,NULL,CORE,NULL
AE16B005,AS2050,NULL,CORE,NULL
AE16B005,MA2020,NULL,CORE,NULL
AE16B005,AS2080,NULL,CORE,NULL
AE16B005,AS2510,NULL,CORE,NULL
AE16B005,AS2070slotF,NULL,CORE,NULL
AE16B006,AS2030,NULL,CORE,NULL
AE16B006,AS2050,NULL,CORE,NULL
AE16B006,MA2020,NULL,CORE,NULL
AE16B006,AS2080,NULL,CORE,NULL
AE16B006,AS2510,NULL,CORE,NULL
AE16B006,AS2070slotE,NULL,CORE,NULL
AE16B007,AS2030,NULL,CORE,NULL
AE16B007,AS2050,NULL,CORE,NULL
AE16B007,MA2020,NULL,CORE,NULL
AE16B007,AS2080,NULL,CORE,NULL
AE16B007,AS2510,NULL,CORE,NULL
AE16B007,AS2070slotE,NULL,CORE,NULL
AE16B008,AS2030,NULL,CORE,NULL
AE16B008,AS2050,NULL,CORE,NULL
AE16B008,MA2020,NULL,CORE,NULL
AE16B008,AS2080,NULL,CORE,NULL
AE16B008,AS2510,NULL,CORE,NULL
AE16B008,AS2070slotE,NULL,CORE,NULL
AE16B009,AS2030,NULL,CORE,NULL
AE16B009,AS2050,NULL,CORE,NULL
AE16B009,MA2020,NULL,CORE,NULL
AE16B009,AS2080,NULL,CORE,NULL
AE16B009,AS2510,NULL,CORE,NULL
AE16B009,AS2070slotE,NULL,CORE,NULL
AE16B010,AS2030,NULL,CORE,NULL
AE16B010,AS2050,NULL,CORE,NULL
AE16B010,MA2020,NULL,CORE,NULL
AE16B010,AS2080,NULL,CORE,NULL
AE16B010,AS2510,NULL,CORE,NULL
AE16B010,AS2070slotE,NULL,CORE,NULL
AE16B011,AS2030,NULL,CORE,NULL
AE16B011,AS2050,NULL,CORE,NULL
AE16B011,MA2020,NULL,CORE,NULL
AE16B011,AS2080,NULL,CORE,NULL
AE16B011,AS2510,NULL,CORE,NULL
AE16B011,AS2070slotE,NULL,CORE,NULL
AE16B011,HS1110,0,ELEC,1
AE16B012,AS2030,NULL,CORE,NULL
AE16B012,AS2050,NULL,CORE,NULL
AE16B012,MA2020,NULL,CORE,NULL
AE16B012,AS2080,NULL,CORE,NULL
AE16B012,AS2510,NULL,CORE,NULL
AE16B012,AS2070slotE,NULL,CORE,NULL
AE16B013,AS2030,NULL,CORE,NULL
AE16B013,AS2050,NULL,CORE,NULL
AE16B013,MA2020,NULL,CORE,NULL
AE16B013,AS2080,NULL,CORE,NULL
AE16B013,AS2510,NULL,CORE,NULL
AE16B013,AS2070slotE,NULL,CORE,NULL
AE16B013,HS1110,0,ELEC,1
AE16B014,GN1102,NULL,BACKLOG,NULL
AE16B014,AS2030,NULL,CORE,NULL
AE16B014,AS2050,NULL,CORE,NULL
AE16B014,MA2020,NULL,CORE,NULL
AE16B014,AS2080,NULL,CORE,NULL
AE16B014,AS2510,NULL,CORE,NULL
AE16B014,AS2070slotF,NULL,CORE,NULL
AE16B014,EE1100,0,ELEC,1
AE16B015,AS2030,NULL,CORE,NULL
AE16B015,AS2050,NULL,CORE,NULL
AE16B015,MA2020,NULL,CORE,NULL
AE16B015,AS2080,NULL,CORE,NULL
AE16B015,AS2510,NULL,CORE,NULL
AE16B015,AS2070slotE,NULL,CORE,NULL
AE16B016,AS2030,NULL,CORE,NULL
AE16B016,AS2050,NULL,CORE,NULL
AE16B016,MA2020,NULL,CORE,NULL
AE16B016,AS2080,NULL,CORE,NULL
AE16B016,AS2510,NULL,CORE,NULL
AE16B016,AS2070slotE,NULL,CORE,NULL
AE16B017,AS2030,NULL,CORE,NULL
AE16B017,AS2050,NULL,CORE,NULL
AE16B017,MA2020,NULL,CORE,NULL
AE16B017,AS2080,NULL,CORE,NULL
AE16B017,AS2510,NULL,CORE,NULL
AE16B017,AS2070slotF,NULL,CORE,NULL
AE16B017,CS7015,0,ELEC,1
AE16B018,AS2030,NULL,CORE,NULL
AE16B018,AS2050,NULL,CORE,NULL
AE16B018,MA2020,NULL,CORE,NULL
AE16B018,AS2080,NULL,CORE,NULL
AE16B018,AS2510,NULL,CORE,NULL
AE16B018,AS2070slotE,NULL,CORE,NULL
AE16B019,AS2030,NULL,CORE,NULL
AE16B019,AS2050,NULL,CORE,NULL
AE16B019,MA2020,NULL,CORE,NULL
AE16B019,AS2080,NULL,CORE,NULL
AE16B019,AS2510,NULL,CORE,NULL
AE16B019,AS2070slotE,NULL,CORE,NULL
AE16B020,AS2070slotE,NULL,CORE,NULL
AE16B020,AS2030,NULL,CORE,NULL
AE16B020,AS2050,NULL,CORE,NULL
AE16B020,MA2020,NULL,CORE,NULL
AE16B020,AS2080,NULL,CORE,NULL
AE16B020,AS2510,NULL,CORE,NULL
AE16B021,AS2030,NULL,CORE,NULL
AE16B021,AS2050,NULL,CORE,NULL
AE16B021,MA2020,NULL,CORE,NULL
AE16B021,AS2080,NULL,CORE,NULL
AE16B021,AS2510,NULL,CORE,NULL
AE16B021,AS2070slotE,NULL,CORE,NULL
AE16B022,AS2030,NULL,CORE,NULL
AE16B022,AS2050,NULL,CORE,NULL
