CourseNo,DepartmentCode,MaxOverall2rength,MinOtherBranch2rength,AllocationType,Credit,Slot,Additional Slot,
EE5160,EE,60,6,2,9,H,,
EE5175,EE,60,6,2,12,B,,
EE5254,EE,60,6,2,12,C,,
EE5320,EE,60,6,2,12,D,,
EE5340,EE,60,6,2,9,A,,
EE5341,EE,60,6,2,9,B,,
EE5342,EE,60,6,2,9,F,,
EE5343,EE,60,6,2,9,G,,
EE5351,EE,60,6,2,9,D,,
EE5504,EE,60,6,2,12,F,P,Q
EE6143,EE,60,6,2,9,D,,
EE6150,EE,60,6,2,12,H,,
EE6262,EE,60,6,2,9,F,,
EE6320,EE,60,6,2,9,K,,
EE6321,EE,60,6,2,12,A,,
EE6346,EE,60,6,2,9,E,,
EE6402,EE,60,6,2,9,G,,
EE6403,EE,60,6,2,12,F,Q,
EE6415,EE,60,6,2,9,B,,
EE6418,EE,60,6,2,9,J,,
EE6419,EE,60,6,2,9,H,,
EE6430,EE,60,6,2,9,C,,
EE6505,EE,60,6,2,12,D,,
EE6506,EE,60,6,2,12,K,,
EP2102,PH,10,10,1,9,C,,
EP3100,PH,30,5,1,9,A,,
EP3120,PH,30,0,1,9,D,,
EP3190,PH,30,0,1,8,P,Q,
EP3220,PH,30,0,1,9,C,,
EP3291,PH,30,0,1,4,P,,
EP4040,PH,0,0,1,1,ZZ,,
GN1102,AM,500,0,1,0,T1,T2,
GN1102BS,AM,500,0,1,0,T1,,
GN6001,CE,100,50,2,9,S,,
GN6106,AM,25,0,1,9,M,,
HS1090,HS,30,0,2,9,F,,
HS1110,HS,30,0,2,9,F,,
HS2370,HS,100,100,2,9,F,,
HS3002,HS,50,0,2,9,F,,
HS3002A,HS,50,0,2,9,F,,
HS3002B,HS,50,0,2,9,F,,
HS3002C,HS,50,0,2,9,F,,
HS3002D,HS,50,0,2,9,F,,
HS3021,HS,45,20,2,10,J,,
HS3023,HS,45,20,2,10,H,,
HS3028,HS,100,100,2,9,D,,
HS3050,HS,450,450,2,0,Q,,
HS3090,HS,50,50,2,9,F,,
HS3280,HS,100,100,2,9,F,,
HS4002,HS,50,50,2,9,F,,
HS4030,HS,50,50,2,9,F,,
HS4210,HS,50,50,2,9,F,,
HS4450,HS,50,50,2,9,F,,
HS4571,HS,30,5,2,9,F,,
HS5920,HS,50,0,2,9,F,,
HS5930,HS,50,0,2,9,F,,
ID1200,CY,0,0,1,0,UU,,
ID3100,AM,30,30,1,12,XX,,
ID4100,AM,30,30,1,9,XX,,
ID5030,ED,60,10,1,10,F,,
IL4040,ME,120,0,1,1,YY,,
MA1102,MA,500,500,1,10,B,,
MA2020,MA,82,82,1,9,A,,
MA2030,MA,70,70,1,9,A,,
MA2031,MA,70,35,1,9,A,,
MA2040,MA,289,161,1,9,A,,
ME1100,ME,70,0,1,10,G,,
ME1480slotP1,ME,70,0,1,7,P1,,
ME1480slotR1,ME,70,0,1,7,R1,,
ME1480slotG1,ME,70,0,1,7,G1,,
ME1480slotS,ME,70,0,1,7,S,,
ME1480slotF1,ME,70,0,1,7,F1,,
ME1480slotA1,ME,70,0,1,7,A1,,
ME1480slotQ1,ME,70,0,1,7,Q1,,
ME2100,ME,70,0,1,10,D,,
ME2200,ME,70,0,1,10,E,,
ME2300,ME,70,0,1,10,F,,
ME2400,ME,70,0,1,11,C,,
ME3100,ME,70,0,1,10,G,,
ME3250,ME,120,0,1,6,G,,
ME3302,ME,70,0,1,10,A,,
ME3482,ME,70,0,1,3,S,P,
ME3484,ME,70,0,1,3,P,S,
ME3500,ME,120,0,1,0,TT,,
ME4001,ME,120,0,1,3,L,,
ME4203,ME,40,20,1,9,E,,
ME4323,ME,40,20,1,9,E,,
ME5127,ME,40,20,1,9,F,,
ME5134,ME,100,40,1,9,T,,
ME6006,ME,40,20,2,9,B,,
ME6125,ME,40,20,1,9,D,,
ME6168,ME,30,10,1,9,G,,
ME6324,ME,40,20,1,9,K,,
MM1001,MM,50,20,3,5,A,,
MM2020,MM,40,20,3,12,D,,
MM2041,MM,40,20,3,12,C,,
MM2060,MM,40,20,3,9,B,,
MM3015,MM,50,20,3,5,Q,,
MM3020,MM,50,20,3,12,A,,
MM3041,MM,40,20,3,9,C,,
MM3070,MM,40,20,3,9,B,,
MM3100,MM,50,20,3,5,P,,
MM3180,MM,150,20,3,9,L,,
MM3200,MM,20,20,3,9,L,,
MM5011,MM,50,20,3,9,M,,
MM5016,MM,30,10,3,9,G,,
MM5017,MM,50,20,3,9,F,,
MM5030,MM,50,20,3,9,G,,
MM5180,MM,30,20,3,9,K,,
MM5190,MM,50,20,3,6,S,,
MM5250,MM,50,20,3,9,K,,
MM5430,MM,50,20,3,9,E,,
MM5740,MM,50,20,3,9,J,,
MM6010,MM,50,20,3,9,F,,
MM6030,MM,50,20,3,9,F,,
MS3510,MS,60,60,3,9,E,,
MS3510+,MS,60,60,3,9,E,,
MS3530,MS,60,60,3,9,F,,
MS3540,MS,60,60,3,9,G,,
MS3590,MS,60,60,3,9,E,,
OE1012,OE,60,0,1,10,A,,
OE2014,OE,60,0,1,10,B,,
OE2024,OE,60,0,1,10,C,,
OE2034,OE,60,0,1,11,D,,
OE2044,OE,60,0,1,10,E,,
OE3020,OE,60,0,1,9,B,,
OE4600,OE,25,10,1,9,F,,
OE5170,OE,50,10,1,9,C,,
OE5320,OE,25,10,1,9,D,,
OE5450,OE,25,10,1,12,E,,
OE5500,OE,25,10,1,9,C,,
OE5800,OE,35,10,1,9,C,,
OE6001,OE,25,10,1,9,D,,
OE6005,OE,25,10,1,9,E,,
PH1010,PH,500,500,1,10,G,,
PH1020,PH,500,500,1,10,D,,
PH1030slotP1,PH,120,120,1,4,P1,,
PH1030slotQ1,PH,120,120,1,4,Q1,,
PH1040,PH,10,0,1,4,R1,,
PH2070,PH,10,10,1,9,C,,
PH2080,PH,10,0,1,12,P,Q,
PH3520,PH,60,60,1,9,E,,
PH5020,PH,0,0,1,10,C,,
PH5080,PH,0,0,1,9,F,,
PH5120,PH,0,0,1,12,R,S,T
PH5160,PH,0,0,1,10,D,,
PH5170,PH,0,0,1,9,E,,
PH5480,PH,15,5,1,9,G,,
PH5500,PH,50,50,1,9,F,,
PH5620,PH,15,10,1,9,F,,
PH5680,PH,15,5,1,9,E,,
PH5720,PH,15,15,1,12,B,Q,
PH5810,PH,10,10,1,9,A,,
PH5813,PH,40,40,1,9,G,,
PH5870,PH,20,20,1,9,E,,
PH5890,PH,20,20,1,9,E,,
PH6011,PH,30,30,1,9,D,,
