Student ID, Course Alloted
MM15B030,HS5930
MM15B031,HS5930
MM15B032,HS3002B
MM15B034,HS5930
MM15B035,HS3002B
MM15B036,HS3002A
MM15B039,HS3002B
MM15B040,HS3002
MM15B041,HS3280
MM15B043,HS3002A
MM15B044,HS3002B
MM15B046,HS4006
MM15B047,HS3002
MM15B048,HS3002B
NA15B001,HS5070
NA15B002,HS5070
NA15B003,HS4005
NA15B004,HS5930
NA15B005,HS5930
NA15B006,HS5930
NA15B007,HS3002A
NA15B008,HS5920
NA15B010,HS3002A
NA15B011,HS3002B
NA15B012,HS2050
NA15B013,HS5930
NA15B014,HS5930
NA15B016,HS3420A
NA15B017,HS5920
NA15B018,HS3002
NA15B019,HS3002A
NA15B020,HS5930
NA15B022,HS3002C
NA15B023,HS3002D
NA15B024,HS3002C
NA15B025,HS4540
NA15B028,HS3002
NA15B029,HS1090+
NA15B030,HS3002B
NA15B031,HS3002A
NA15B032,HS2050
NA15B033,HS4005
NA15B034,HS3002
NA15B036,HS3002B
NA15B039,HS1090+
NA15B041,HS2050
NA15B042,HS4006
NA15B043,HS3420A
NA15B044,HS4006
NA15B045,HS3280
NA15B046,HS4006
NA15B047,HS4540
NA15B048,HS4006
NA15B049,HS3002
PH15B001,HS2050
PH15B005,HS1090+
PH15B006,HS2050
PH15B007,HS4006
PH15B008,HS3002C
PH15B009,HS2050
BE15B004,MA2020
BE15B005,MA2020
BE15B006,MA2020
BE15B007,MA2020
BE15B008,MA2020
BE15B009,MA2020
BE15B011,MA2031
BE15B012,MA2020
BE15B013,MA2020
BE15B014,MA2020
BE15B015,MA2020
BE15B017,MA2020
BE15B018,MA2020
BE15B019,MA2020
BE15B021,MA2020
BE15B022,MA2031
BE15B023,MA2020
BE15B025,MA2020
BE15B026,MA2020
BE15B027,MA2031
BE15B028,MA2020
BE15B029,MA2020
BE15B030,MA2020
BE15B031,MA2020
BE15B032,MA2031
CE15B001,MA2020
CE15B002,MA2020
CE15B003,MA2020
CE15B004,MA2040
CE15B005,MA2020
CE15B006,MA2020
CE15B007,MA2040
CE15B009,MA2040
CE15B010,MA2020
CE15B011,MA2040
CE15B012,MA2020
CE15B013,MA2040
CE15B015,MA2020
CE15B017,MA2020
CE15B018,MA2020
CE15B019,MA2020
CE15B021,MA2020
CE15B022,MA2020
CE15B023,MA2031
CE15B024,MA2020
CE15B026,MA2020
CE15B027,MA2020
CE15B028,MA2020
CE15B029,MA2020
CE15B030,MA2040
CE15B031,MA2040
CE15B032,MA2040
CE15B033,MA2040
CE15B034,MA2020
CE15B035,MA2130
CE15B036,MA2020
CE15B037,MA2020
CE15B038,MA2020
CE15B039,MA2040
CE15B040,MA2020
CE15B041,MA2040
CE15B042,MA2020
CE15B043,MA2020
CE15B044,MA2020
CE15B045,MA2040
CE15B046,MA2020
CE15B047,MA2020
CE15B048,MA2040
CE15B049,MA2020
CE15B050,MA2020
CE15B051,MA2020
CE15B052,MA2020
CE15B053,MA2020
CE15B054,MA2020
CE15B055,MA2040
CE15B056,MA2040
CE15B057,MA2020
CE15B058,MA2020
CE15B059,MA2020
CE15B060,MA2020
CE15B062,MA2020
CE15B063,MA2020
CE15B064,MA2040
CE15B065,MA2020
CE15B066,MA2130
CE15B067,MA2020
CE15B068,MA2020
CE15B069,MA2040
CE15B070,MA2020
CE15B071,MA2020
CE15B072,MA2020
CE15B073,MA2020
CE15B074,MA2020
CE15B075,MA2020
CE15B076,MA2020
CE15B077,MA2020
CE15B078,MA2020
CE15B079,MA2020
CE15B082,MA2020
CE15B084,MA2020
CE15B085,MA2020
CE15B086,MA2020
CE15B087,MA2020
CE15B088,MA2020
CE15B089,MA2040
CE15B091,MA2020
CE15B092,MA2020
CE15B093,MA2020
CE15B094,MA2020
CE15B095,MA2020
CE15B096,MA2020
CE15B100,MA2040
CE15B101,MA2020
CE15B102,MA2020
CE15B103,MA2020
CE15B104,MA2020
CE15B105,MA2020
CH15B001,MA2020
CH15B002,MA2020
CH15B003,MA2020
CH15B004,MA2020
CH15B005,MA2020
CH15B006,MA2020
CH15B007,MA2020
CH15B008,MA2020
CH15B009,MA2020
CH15B010,MA2130
CH15B011,MA2020
CH15B012,MA2020
CH15B013,MA2020
CH15B014,MA2020
CH15B016,MA2020
CH15B017,MA2020
CH15B018,MA2020
CH15B019,MA2020
CH15B021,MA2020
CH15B022,MA2020
CH15B024,MA2020
CH15B025,MA2040
CH15B026,MA2020
CH15B027,MA2020
CH15B028,MA2020
CH15B029,MA2020
CH15B030,MA2020
CH15B031,MA2020
CH15B033,MA2020
CH15B034,MA2020
CH15B035,MA2020
CH15B036,MA2020
CH15B037,MA2020
CH15B038,MA2020
CH15B039,MA2020
CH15B040,MA2040
CH15B041,MA2020
CH15B042,MA2040
CH15B043,MA2020
CH15B044,MA2020
CH15B045,MA2040
CH15B048,MA2020
CH15B049,MA2020
CH15B050,MA2020
CH15B051,MA2020
CH15B052,MA2020
CH15B053,MA2020
CH15B054,MA2031
CH15B055,MA2020
CH15B056,MA2020
CH15B057,MA2020
CH15B058,MA2020
CH15B059,MA2020
CH15B060,MA2020
CH15B061,MA2020
CH15B062,MA2040
CH15B063,MA2020
CH15B064,MA2020
CH15B065,MA2020
CH15B066,MA2020
CH15B067,MA2020
CH15B069,MA2020
CH15B070,MA2020
CH15B071,MA2040
CH15B073,MA2020
CH15B074,MA2020
CH15B075,MA2020
CH15B076,MA2020
CH15B077,MA2020
CH15B078,MA2020
CH15B079,MA2020
CH15B081,MA2020
CH15B082,MA2020
CH15B083,MA2040
CH15B084,MA2020
CH15B086,MA2040
CH15B087,MA2020
CH15B088,MA2020
