Student Roll Number, Electives Allotted 
EE16B103,MA2040
EE16B105,HS3060
EE16B107,HS4350
EE16B108,HS4210
EE16B109,HS3060
EE16B111,HS4002
EE16B121,HS4350
EE16B125,HS4571
EE16B131,HS3060
EE16B137,MA2040
EE16B138,HS4002
EE16B144,HS4350
EE16B145,MA2040
EE16B149,MA2130
EE16B153,MA2031
EP15B001,EP2100
EP15B004,EP2100
EP15B005,PH6022,EP2100,MS3610
EP15B006,GN5001,HS4571
EP15B007,EP2100
EP15B009,ID6030,EP2100
EP15B010,EP2100
EP15B011,HS4350,CS2710
EP15B014,EP2100,EE2016
EP15B015,GN5001
EP15B016,EE3004,EP2100
EP15B020,EP2100
EP15B023,EP2100,EE2016
EP15B024,EP2100
EP15B025,EE2016
EP15B026,EE3002
EP15B027,CS2700,CS2710
EP15B028,CS2700,CS2710
EP16B005,HS3060
EP16B009,HS4350
EP16B011,HS4571
EP16B012,HS4571
EP16B014,HS4350
EP16B023,HS4350
EP16B024,HS4571
EP16B025,HS4350
EP16B026,HS4571
ME15B010,MS3510#
ME15B027,PH2170
ME15B029,CH5170
ME15B031,MM5021
ME15B037,MS3610
ME15B049,CS2700
ME15B051,MS3610
ME15B056,MS3610
ME15B057,MS3610
ME15B069,BT3031
ME15B076,PH3500
ME15B087,CS2700
ME15B088,MS3510#
ME15B091,MS3610
ME15B100,GN5001
ME15B102,MM2015
ME15B105,EE3301
ME15B113,PH6022
ME15B114,ED3153
ME15B119,MS3510#
ME15B130,CS2700
ME15B137,MS3510#
ME15B139,CS2700
ME15B143,CS2700
ME15B146,MM2015
ME15B153,MS3510#
ME15B155,CH5170
ME15B160,PH2170
ME15B162,MM5010
ME16B077,HS4571
MM15B001,HS2030,MM5210
MM15B002,MM5040
MM15B008
MM15B014,MM5210
MM15B015,CS4011
MM15B017,HS4350
MM15B018,MS3610
MM15B026,MM5210
MM15B030,EE3301
MM15B032,MS3510#
MM15B039,MM3012
MM15B040,MM3012
MM15B048,PH2170,MM3012
MM16B003,HS4210
MM16B008,HS4350
MM16B009,HS4350
MM16B013,HS5920
MM16B017,HS4350
MM16B020,HS2030
MM16B025,HS4002
MM16B027
MM16B028,HS3060
MM16B029,HS4350
MM16B031,MA2020
MM16B107,MA2020,HS4571
MM16B111,HS4210
MM16B112,HS2030
MM16B113,MA2020
NA15B001,OE3190
NA15B002,OE3190,CE3310
NA15B003,OE3190,CE3310
NA15B005,OE3190
NA15B006,HS4571
NA15B007,MS3610
NA15B008,MS3610
NA15B010,MS3610
NA15B011,OE3190,CE4030
NA15B012,OE3190
NA15B013,MS3610
NA15B014,OE3190
NA15B017,OE3190
NA15B018,OE3190
NA15B019,OE3190
NA15B021,OE3190
NA15B023,OE3190,CE3310
NA15B028,OE3190
NA15B029,OE3190
NA15B031
NA15B033,OE3190
NA15B036,OE3190
NA15B039,OE3190
NA15B041,OE3190
NA15B042,OE3190,AS5420
NA15B044,OE3190,CE3310
NA15B046,OE3190
NA16B014,HS4571
NA16B017,MA2020
NA16B018,MA2020
NA16B025,MA2010
NA16B027,HS4002
NA16B028,MA2020,HS4002
NA16B031,MA2020,HS3060
NA16B037,HS3060
NA16B102,MA2020,HS3060
NA16B104,HS2030
NA16B108,HS4350
NA16B110,HS3060
NA16B111,MA2020
NA16B112,MA2130
NA16B115,HS4002
NA16B117,HS4350
PH16B004,HS4571
PH16B010,HS4210
PH16B011,HS4002,MA2040
