Rollno,CGPA,Max Credits
CH15B017,5.91,63
CH15B018,5.64,63
CH15B019,8.03,63
CH15B020,9.16,63
CH15B021,9.62,72
CH15B022,7.63,63
CH15B023,9.64,63
CH15B024,4.54,63
CH15B025,7.34,63
CH15B026,6.56,63
CH15B027,5.09,63
CH15B028,8.84,63
CH15B029,8,63
CH15B030,7.71,63
CH15B031,7.96,63
CH15B032,9.6,63
CH15B033,7.63,63
CH15B034,8.11,63
CH15B035,7.71,63
CH15B036,6.78,63
CH15B037,6.06,63
CH15B038,8,63
CH15B039,8.54,63
CH15B040,7.16,63
CH15B041,7.92,63
CH15B042,7.73,63
CH15B043,7.15,63
CH15B044,7.69,63
CH15B045,7.46,63
CH15B046,9.6,63
CH15B047,6.69,63
CH15B048,8.73,63
CH15B049,3.65,63
CH15B050,7.53,63
CH15B051,7.27,63
CH15B052,7.96,63
CH15B053,9.04,63
CH15B054,8.59,63
CH15B055,9.49,63
CH15B056,8.73,63
CH15B057,6.02,63
CH15B058,9.56,72
CH15B059,9.02,63
CH15B060,7.77,63
CH15B061,7.28,63
CH15B062,7.88,63
CH15B063,7.78,63
CH15B064,7.66,63
CH15B065,9.2,63
CH15B066,9.05,63
CH15B067,9.17,72
CH15B068,9.12,63
CH15B069,8,63
CH15B070,7.27,63
CH15B071,6.59,63
CH15B072,9.36,63
CH15B073,8.65,63
CH15B074,6.98,63
CH15B075,5.28,63
CH15B076,5.57,63
CH15B077,6.43,63
CH15B078,8.14,63
CH15B079,6.51,63
CH15B080,9.76,63
CH15B081,7.55,63
CH15B082,7.2,63
CH15B083,7.86,63
CH15B084,4.78,63
CH15B086,7.16,63
CH15B087,8.05,63
CH15B088,6.88,63
CH15B089,9.76,63
CH15B090,2.44,63
CH15B091,9.72,63
CH15B092,9.62,63
CH15B093,8.59,72
CH15B094,8.08,63
CH15B095,7.8,63
CH15B096,8.22,63
CH15B097,7.74,63
CH16B001,8.9,63
CH16B002,4.3,63
CH16B003,2.75,63
CH16B004,9.83,63
CH16B005,6.34,63
CH16B006,0.78,63
CH16B007,7.3,63
CH16B008,2.45,63
CH16B009,9.53,63
CH16B010,8.23,63
CH16B011,4.44,63
CH16B012,6.6,63
CH16B013,8.37,63
CH16B014,7.3,63
CH16B015,9.2,63
CH16B016,8.68,63
CH16B017,6.41,63
CH16B018,7.97,63
CH16B019,6.19,63
CH16B020,6.61,63
CH16B021,7.46,63
