CourseNo,DepartmentCode,MaxOverall2rength,MinOtherBranch2rength,AllocationType,Credit,Slot,Additional Slot,
GN6106,AM,50,50,3,9,NC,
GN6107,AM,300,300,3,9,NC,
HS1090,HS,111,65,3,9,F,
HS1110,HS,66,20,3,9,F,
HS2030,HS,60,60,2,9,D,
HS2050,HS,60,60,2,9,D,
HS3002A,HS,120,120,2,9,F,
HS3002B,HS,0,0,2,9,F,
HS3002C,HS,120,120,2,9,F,
HS3002,HS,120,120,2,9,F,
HS3007,HS,60,60,3,9,D,
HS3031,HS,50,30,2,9,D,
HS3050,HS,225,0,2,0,S,
HS3060,HS,60,60,2,9,D,
HS3420A,HS,60,60,2,9,D,
HS3420,HS,60,60,2,9,D,
HS4001,HS,60,60,2,9,D,
HS4002,HS,60,60,2,9,F,
HS4005,HS,60,60,2,9,D,
HS4010,HS,60,60,2,9,D,
HS4031,HS,60,60,2,9,F,
HS4210,HS,60,60,2,9,D,
HS4290,HS,60,60,2,9,F,
HS4300,HS,60,60,2,9,D,
HS4350,HS,60,60,2,9,D,
HS4571,HS,35,35,2,9,F,
HS5920,HS,60,60,2,9,F,
HS6940,HS,60,60,2,9,D,
ID1200,CH,0,0,1,0,D,
ID4100,AM,0,0,3,9,XX,
ID4100,EE,20,0,2,9,XX,
ID5030,ME,100,30,2,10,G,
ID6010,ME,25,10,1,9,G,
ID6040,ED,35,35,1,12,E,
ID6060,MM,50,20,3,9,M,
ID6070,ME,30,15,1,9,F,
ID6103,MM,50,20,3,9,T,
ID6105,AM,20,20,2,9,D,
ID6106,MM,50,20,3,9,F,
IL4020,ME,170,0,1,1,YY,
MA1101,MA,0,0,1,10,B,
MA2010,MA,70,70,2,9,A,
MA2020,MA,420,420,2,9,A,
MA2031,MA,140,140,2,9,A,
MA2040,MA,140,140,2,9,A,
MA2130,MA,140,140,2,9,A,
MA5014,MA,5,5,1,9,D,
MA5310,MA,5,5,1,9,F,
MA5330,MA,5,5,1,12,E,
MA5350,MA,5,5,1,9,C,
MA5370,MA,5,5,1,12,G,
MA5390,MA,5,5,1,12,D,
MA5400,MA,5,5,1,9,B,
MA5430,MA,5,5,1,9,A,
MA5440,MA,5,5,1,9,G,
MA5450,MA,5,5,1,12,C,
MA5470,MA,5,5,1,9,E,
